id,category,user_query,knowledge_context,recommended_gesture,is_crisis
35,clinical_faq,Where can I learn about types of mental health treatment?,"Mental health conditions are often treated with medication, therapy or a combination of the two. However, there are many different types of treatment available, including Complementary & Alternative Treatments, self-help plans, and peer support. Treatments are very personal and should be discussed b",gentle_nod,FALSE
36,clinical_faq,What are the different types of mental health professionals?,There are many types of mental health professionals. Finding the right one for you may require some research.,gentle_nod,FALSE
37,clinical_faq,Where can I go to find a support group?,"Many people find peer support a helpful tool that can aid in their recovery. There are a variety of organizations that offer support groups for consumers, their family members and friends. Some support groups are peer-led, while others may be led by a mental health professional.",gentle_nod,FALSE
38,clinical_faq,Where can I go to find inpatient care?,"If you or someone you know is in crisis, inpatient care can help. Inpatient care can help people stabilize on new medications, adjust to new symptoms, or get the help they need.",gentle_nod,FALSE
39,clinical_faq,Where can I go to find other local services?,"There are likely plenty of resources that can be used to help you find mental health treatment in your community. These resources can help you find the right therapist, and enable you to better understand viable treatment options and the treatment process.",gentle_nod,FALSE
40,clinical_faq,Where can I learn more information about clinical trials?,"Sometimes, consumers of mental health services may consider participating in a research study when they have not experienced improvement despite having tried a variety of medications and treatments. Research studies (also known as clinical trials) may involve the use of new medications or new treatm",gentle_nod,FALSE
41,clinical_faq,Where can I learn more information about creating a Psychiatric Advance Directive?,"Similar to a medical advance directive or a health care power of attorney, a psychiatric advance directive is a legal document completed in a time of wellness that provides instructions regarding treatment or services one wishes to have or not have during a mental health crisis, and may help influen",gentle_nod,FALSE
42,clinical_faq,What is mental health?,"We all have mental health which is made up of our beliefs, thoughts, feelings and behaviours.",gentle_nod,FALSE
43,clinical_faq,What do I do if the support doesn’t help?,"It can be difficult to find the things that will help you, as different things help different people. It's important to be open to a range of approaches and to be committed to finding the right help and to continue to be hopeful, even when some things don't work out.",gentle_nod,FALSE
44,clinical_faq,Can you prevent mental health problems?,"We can all suffer from mental health challenges, but developing our wellbeing, resilience, and seeking help early can help prevent challenges becoming serious.",gentle_nod,FALSE
45,clinical_faq,Are there cures for mental health problems?,"It is often more realistic and helpful to find out what helps with the issues you face. Talking, counselling, medication, friendships, exercise, good sleep and nutrition, and meaningful occupation can all help.",gentle_nod,FALSE
46,clinical_faq,What causes mental health problems?,"Challenges or problems with your mental health can arise from psychological, biological, and social, issues, as well as life events.",gentle_nod,FALSE
47,clinical_faq,What do I do if I’m worried about my mental health?,"The most important thing is to talk to someone you trust. This might be a friend, colleague, family member, or GP. In addition to talking to someone, it may be useful to find out more information about what you are experiencing. These things may help to get some perspective on what you are experienc",gentle_nod,FALSE
48,clinical_faq,How do I know if I’m unwell?,"If your beliefs , thoughts , feelings or behaviours have a significant impact on your ability to function in what might be considered a normal or ordinary way, it would be important to seek help.",gentle_nod,FALSE
49,clinical_faq,What should I do if I’m worried about a friend or relative?,This may depend on your relationship with them. Gently encouraging someone to seek appropriate support would be helpful to start with.,gentle_nod,FALSE
50,clinical_faq,How do I deal with someone telling me what to do?,"Some people may advise you on good evidence of what works with the best of intentions, but it's important to find out what works best for you.",gentle_nod,FALSE
51,clinical_faq,Why do I need to keep informed?,"It may be tempting to try to block out the world altogether to avoid bad news, but it's important to keep yourself informed. We all have to step up during a pandemic because we all have a part to play in reducing the spread of the virus. It's important that you know what must be done and how you sho",gentle_nod,FALSE
52,clinical_faq,How can I tell if health information is good or bad?,"Anyone can post anything online. It's up to the readers to think critically about information to decide if it seems helpful, truthful, or safe. Here are key points to keep in mind as you determine which information is worth considering and which information doesn't pass the test. It's so easy to spr",gentle_nod,FALSE
53,clinical_faq,Why do I need a plan?,"There are a lot of things you can't control. You can't control what happens next, how governments respond, or how your neighbours react to the pandemic. What you can do is make a plan and decide how you'll manage the things you do control, like your ability to stay safe, follow public health measure",gentle_nod,FALSE
54,clinical_faq,How can I maintain social connections? What if I feel lonely?,"A lot of people are alone right now, but we don't have to be lonely. We're all in this together. While you may be physically separated from friends, family members, and other loved ones, it has never been more important to maintain those social connections. Social connections are an opportunity to s",gentle_nod,FALSE
55,clinical_faq,How can I take care of my physical health?,"Taking care of your physical health is also good for your mental health. It's more important than ever to keep yourself healthy. Try to eat as well as you can. It may be easier to reach for unhealthier comfort foods and snacks while you spend more time at home, but try to keep a balanced approach. W",gentle_nod,FALSE
56,clinical_faq,How can I use distraction to manage difficult thoughts or feelings?,"Distraction is a very valid tool to help you cope when everything feels overwhelming or when you feel lonely or isolated. If you don't have a lot of energy or focus right now, try low-effort distractions like watching TV, browsing Youtube, listening to a podcast or audiobook, playing a game on your ",gentle_nod,FALSE
57,clinical_faq,How can I reframe the situation and find more balanced perspectives?,"How you think about something impacts your feelings and your behaviours. When we feel stressed out, angry, or fearful, it's hard to look at the situation realistically and see all of the options we have. (Remember: we all control our own actions and reactions, no matter what's going on in the world.",gentle_nod,FALSE
58,counsel_family_conflict,"My wife and mother are having tense disagreements. In the past, they’ve had minor differences. For example, my wife woul",<p>What you are describing is something psychologists have termed &#34;triangulation&#34; which is what happens when one family member will not talk to the one they have a problem with and goes to a third member of the family to complain instead. You have been &#34;triangulated&#34; by your wife and,gentle_nod,FALSE
59,counsel_family_conflict,"I have secrets in my mind, and I don't know what to do with them. I don't want to tell my wife and mom because I don't w",<p>It sounds like keeping the secrets has become a problem for you now. There are several things to consider before you make a decision.</p><p>- You mentioned that you don't want your wife and mom to know because you don't want to hurt them – why would it hurt them? </p><p>- Is it necessary for them,gentle_nod,FALSE
60,"counsel_behavioral_change,social_relationships",I am extremely possessive in my relationships and this is hurting my friendships. How can I fix my underlying issues?,"<p>Hi there. It's great you are able to realize there are other issues going on with someone who feels possessive. At the root of it is fear. Fear of losing someone, fear of being alone, fear of not being good enough. All those fears can lead to low self-esteem and feeling like you have to control o",gentle_nod,FALSE
61,counsel_anxiety,I had a head injury a few years ago and my mind races all the time. I have trouble sleeping and have a lot of anxiety. E,"<p>You didn't say what or how many medications you've tried. Certain anxiety medications can make you feel nauseous, but I haven't heard of any that cause mouth blisters, so there may be some other underlying medical issue there. I would definitely talk to your primary care physician and whoever has",gentle_nod,FALSE
62,counsel_relationship_dissolution,I want a secure relationship with someone that wants to be with me and who will actually put effort into it. I seem to g,<p>It is a good thing that you have recognized that you have been in some unhealthy relationships and that you are wanting to break this pattern. You seem to have some good insight into the situation.</p><p>The type of behavior that you are describing is usually rooted in childhood issues with insec,gentle_nod,FALSE
63,counsel_sleep_improvement,"It takes me a long time to fall asleep; I’d estimate about two hours. I often have nightmares, starting with being eaten","<p>First of all, exercise is always beneficial for your physical and emotional health. That's great that you have added this in your routine. Have you also considered altering your diet? Certain foods are linked with poor sleep. For example, alcohol, caffeine, nicotine and high fat content foods do ",gentle_nod,FALSE
64,counsel_social_relationships,They're calling me names like hypocrite and a baby even when they act in the same manner as I do. I'm tired of being cal,"<p>It sounds like your confused as to why your friends would be calling you a hypocrite when they act in the same manner, correct? Communication is key to any relationship. I would recommend speaking with your friends face-to-face to address why they feel your behavior is concerning. </p><p>In-perso",gentle_nod,FALSE
65,"counsel_relationships,marriage",Cheating is something unacceptable for me but because we have two daughters I decided not to break up the family. Howeve,"<p>First of all, my heart goes out to you. Infidelity is an extremely challenging obstacle to overcome. There are some things that you should consider. First of all, did he seem truly remorseful? If you felt in his heart that he was truly sorry for what he had done, it will give you a piece of mind ",gentle_nod,FALSE
66,"counsel_anxiety,anger_management","I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I","<p>It sounds as if you may be experiencing a bout of anxiety and/or depression. Sleeping difficulties, irritability and anxiety attacks all are correlated with these mood disorders. And it’s actually quite common for someone to deal encounter this during their lifetime. </p><p>Also, keep in mind tha",gentle_nod,FALSE
67,"counsel_marriage,intimacy",I have no sex drive due to medical issues. I’ve shut down completely and closed everyone out. I’ve even told my husband ,"<p>I’m sorry to hear about your current situation. My heart goes out to you during this time.</p><p>First of all, it is of vital importance that you discuss your symptoms with your doctor. Regardless of whether you are able to mend your relationship with your husband, you need to address the physica",gentle_nod,FALSE
68,"counsel_anxiety,anger_management","I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I","<p>Hi there. I have to commend you on reaching out to get some answers on why you are feeling the way that you are feeling. A lot of people secretly go about their lives every day feeling this way because they are too afraid of what the answer might be.</p><p>First off, what stressors do you have in",gentle_nod,FALSE
69,counsel_relationships,I need help of letting go of a man who hurt me but it’s so hard. How do I do it?,"<p>It is incredibly hard to let go of a relationship that was meaningful in your life. Even though you consider the relationship to be a hurtful one, I’m sure there are some aspects about it that are hard to let go of (i.e. time invested, mutual friends, positive memories, etc). So it is very unders",gentle_nod,FALSE
70,counsel_family_conflict,The last of my emotions belong to my pets. Today my dad said he might get rid of them tomorrow. If that does happen I mi,"<p>It sounds to me like you have had a lot going on and now you are afraid you are going to lose the last things you care about, your pets. I do not know what all is going on in your family, and I cannot answer for your dad’s actions or his reasoning behind this.</p><p>I would recommend that you foc",gentle_nod,FALSE
71,counsel_relationships,Me and my girlfriend just broke up. She said she loves me but is not in love anymore. This came out of nowhere. We seeme,"<p>I am sorry to hear of these troubles. I see a few issues here. I wonder why you were both trying to get pregnant when the relationship seemed troubled? Some people think that they can fix a broken relationship by getting pregnant, and all this does is bring up more problems.</p><p>You say you nev",gentle_nod,FALSE
72,"counsel_domestic_violence,anger_management,family_conflict",Now I have anger and trust issues. How can I treat this and fix myself?,"<p>I will assume that for whatever reason, you either do not want to or are not able to seek counseling for this. However, I highly urge you to do so because long-term childhood abuse does have negative consequences for your life as an adult, as it seems you are already aware. </p><p>There are confi",gentle_nod,FALSE
73,"counsel_anxiety,family_conflict,depression,stress,social_relationships",I've never been able to talk with my parents. My parents are in their sixties while I am a teenager. I love both of them,<p>Hi there. Being 15 years old can be a very difficult time in your teenage life. I remember when I was 15 and how I often felt my parents weren’t listening to me. It’s even more difficult when you feel that you do not have a friend that you can confide in. </p><p>Having depression in the past and ,gentle_nod,FALSE
74,counsel_relationships,"I have been with this guy on and off for 8 years. At first, we used to do things together and our sex life was ok. Then ","<p>I don't think you’ve lost something, I think you’ve found something - your breaking point, and it's about time. Your boyfriend seems to be a very selfish and immature man who reconnects with you when it's convenient for him. Obviously, he has his own issues, but I want to address yours. I agree y",gentle_nod,FALSE
75,"counsel_anger_management,sleep_improvement","My son claims that hes been having extremely violent thoughts and dreams. Not violent like he's hurting someone, but vio","<p>Let me start my stating this is important to take seriously - taking to his PCP, getting a referral to a pediatric specialist, and getting him to a relational psychotherapist would be my first tasks. </p><p>I wont label this occurrences as &#34;normal&#34; yet it is important to note these things",gentle_nod,FALSE
76,"counsel_anxiety,relationships","Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving i","<p><span>I’m sorry to hear that you are currently experiencing panic attacks. I hope that the medication you have been prescribed has provided you with some relief. Unfortunately, I don’t feel that moving in with your girlfriend would alleviate your anxiety. Although you may feel very anxious about ",gentle_nod,FALSE
77,"counsel_relationships,domestic_violence","I’ve known my boyfriend for several years. We were friends for a long time. In 2013 we started a relationship, and he ev",<ol></ol><p>There are plenty of red flags that you have been presented with:</p><ol><li>Several breakups </li><li><span>Not holding up his end of the bargain regarding work</span></li><li><span>Lack of empathy for your miscarriage</span></li><li><span>Lying about his involvement with another woman</,gentle_nod,FALSE
78,"counsel_domestic_violence,relationship_dissolution",I am going through a divorce from a narcissistic sociopath who left me for another woman after mentally and emotionally ,"<p>I am very sorry to hear of your struggles. I think that it is normal to struggle to get your feet under you again after a divorce, especially after leaving a relationship that lasted 11 years, so try not to be too hard on yourself. Take it one day at a time and do the best you can.</p><p>I notice",gentle_nod,FALSE
79,"counsel_depression,marriage","I've been married for 3 years and I have two kids. During my 3-years married, my husband cheated on me twice. The second","<p>Hi there. Thank you reaching out for help. It takes a lot of courage for someone that is being abused to reach out for help. I want you to know that I am here to help you in any way that I can. </p><p>First and foremost, you did not mention whether or not you had children yourself by this man. I’",gentle_nod,FALSE
80,counsel_grief_and_loss,What can I do to stop grieving my mother’s death? When I am awake I just cry every day. I don't have anyone to talk to. ,"<p>I am sorry that you lost your mother. That is a really hard thing for someone to go through.</p><p>There is really no set time for grief to be over, but I agree that if it has been three years and you are still crying every day then this is past the time for normal grief. I do not know how old yo",gentle_nod,FALSE
81,"counsel_family_conflict,children_&_adolescents",I'm having issues with my relative. The police never believe the experiences I have been through because I am only a kid,"<p>I think it would be wise for you to call a hotline especially designed for children. It's called the Childhelp National Child Abuse Hotline. The number is 1-800-4-A-CHILD (1-800-422-4453). </p><p>It is completely anonymous and a trained therapist will be able to provide you with guidance, confide",gentle_nod,FALSE
82,"counsel_marriage,relationship_dissolution",My wife just last week said she wants a divorce and it's all sudden. I understand that marriages have their ups and down,"<p>Chances are, if you really think about it, there were signs that something wasn’t quite right in your marriage. You may have passed these things off as being the normal ups and downs of a marriage, but whatever it was (or wasn't), it's obviously bothering your wife. I would say yes, keep trying t",gentle_nod,FALSE
83,counsel_grief_and_loss,I loved him more than anything. He passed away on our anniversary which was also the day I was going to apply for our ap,<p>I am so sorry to hear of your boyfriend's passing. Grief is something that can take a long time to recover from. Have you considered speaking with a grief counselor? Being able to speak with someone that specializes in grief would be very beneficial. </p><p>Do not get down on yourself for not rec,gentle_nod,FALSE
84,counsel_relationships,"I have been with a guy for 4 years, he's a great guy and we also have a son together. The problem is that I'm in love wi","<p>Hi there. Wow, this sounds like a sticky situation; however, I’m here to help guide you through this decision. </p><p>First and foremost, you must ask yourself, if you ever loved your sons’ father or was it a situation to where you two got pregnant and stayed together for the child. It’s very com",gentle_nod,FALSE
85,"counsel_relationships,intimacy",My boyfriend can't get over my promiscuous past. He says he loves me but says the thought of my past is disgusting and a,"<p>I am sorry to hear of your relationship struggles. </p><p>One thing I wonder is did you volunteer the information about your past or is this something that he asked about? In the future, it is probably best to leave details out of conversations like this. I think it is common and natural for part",gentle_nod,FALSE
86,counsel_relationships,What do I do if I have been feeling like I could never be with anyone because no one would want me. Or I couldn't have m,"<p>I'm sorry you are feeling uncared for. I'm sure there are plenty of people that care and love for you that you are not taking into consideration. Sometimes when we get upset we may think irrationally and see the world as all or nothing. However, take a deep breath, relax and start focusing on the",gentle_nod,FALSE
87,counsel_intimacy,I have this weird fetish that I'm afraid to open up about it. What should I do?,"<p>This is difficult to answer because you don’t tell us what the fetish is. I do understand that this is something that is bothering you though. </p><p>The first thing to ask yourself is if this is something that is illegal or not. If this is illegal to engage in, then you need to seek counseling h",gentle_nod,FALSE
88,counsel_workplace_relationships,"My coworkers are making false statements about me to the boss, saying I have mood swings. They have no proof to back it ","<p>I can’t give you legal advice, but employers can suggest you see someone if your behavior is affecting your job. I believe most government agencies have an Employee Assistance Program (EAP) where employees can talk to a therapist about any issue, not just work-related, for free (up to a certain a",gentle_nod,FALSE
89,counsel_depression,I'm in a state of depression right now. Who can I talk to? I've been sick in a lot of pain and crying. Don't know where ,"<p>First of all, if you’re sick and in pain, have you seen your doctor? If you have a chronic illness and pain, this can often lead to depression and is very common. You’ve taken the first step to dealing with it. You can talk to your doctor, even if your depression isn’t related to your health. He ",gentle_nod,FALSE
90,"counsel_family_conflict,self-esteem,parenting,anxiety","My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut",<p>I'm sorry to hear that you are unable to get through to your parents. It sounds like you are experiencing a great deal of anxiety that needs to be addressed by a professional (despite the fact that you are unable to at the moment). I would recommend talking with another adult such as a school cou,gentle_nod,FALSE
91,counsel_family_conflict,How do I overcome being jealous of my boyfriends mother?,"<p>Try to think of his close relationship with his mother in a good way. It means that they have a positive family structure which can transfer down to your own family if you have one together in the future. </p><p>Despite your boyfriend having a good relationship with his mother, it will never be e",gentle_nod,FALSE
92,counsel_intimacy,I'm a 40 year old male and having erection problems. Still have the desire for a woman. Awfully frustrated. Any suggesti,"<p>Hi there, first off I have to commend you for reaching out. It takes a lot for a man to reach out for help when it comes to erection problems. Believe it or not, this problem is very common for men and women. </p><p>There are some things that you can try naturally, before resulting in medication,",gentle_nod,FALSE
93,counsel_relationships,I've been abused emotionally all of my life and for some reason I keep getting with men that I let emotionally abused me,<p>I want to applaud you for taking this first step towards realizing that this is an issue and wanting to do something about it. You are already on the road to a happier life with this realization. A lot of women do not recognize that it may be something about them that continues to attract a man l,gentle_nod,FALSE
94,"counsel_anxiety,depression","I've have lived for sometime with depression but things have gotten a lot better, but why is it so hard to get over anxi","<p>The best way to handle depression and anxiety is with a combination of appropriate medication given to you by a medical doctor, and therapy to help you understand the thoughts, feelings, and behaviors that are causing the depression and anxiety in the first place and then to replace these with mo",gentle_nod,FALSE
95,counsel_family_conflict,"Hello, I have a cousin in my family who has been making me feel belittled, insecure, and frustrated during her stay here","<p>Do you have a close friend or relative who's opinion you trust? Ask them for their honest feedback and if they see you like your cousin does. If they don’t see these qualities in you, then it may be your cousin’s issue and she’s taking it out on you. You can always ask her what would be the best ",gentle_nod,FALSE
96,"counsel_spirituality,family_conflict","In particular during family gatherings (such as funerals), where there are different customs.","<p>I think the best thing you can do is be respectful of each family member's wishes. Although everyone may not agree with one another, the most important thing you can do for each other is to respect their faith and beliefs instead of trying to sway them in a certain direction. </p><p>There are man",gentle_nod,FALSE
97,counsel_depression,"I don't know what's wrong with me. At times I can be really happy, excited, I'll talk fast, and I want to do things. But","<p>I'm sorry to hear that you are feeling as if you're in a slump. First of all, nothing is wrong with you. Many people report similar symptoms. Have you ever talked with a physician regarding your symptoms? Two extreme emotions such as feeling extremely happy and then feeling extremely low for a le",gentle_nod,FALSE
98,neet_biology,I keep forgetting NCERT biology diagrams and examples in Plant Kingdom and Morphology,"NCERT Biology requires active visual recall rather than passive rereading. For Plant Kingdom and Morphology, create a 1-page comparison matrix comparing Life Cycles (Haplontic, Diplontic, Haplodiplontic) and Floral Formulas (Solanaceae, Fabaceae, Liliaceae). Draw diagrams without looking at the book and label them from memory.",thoughtful_chin,FALSE
99,neet_score_drop,"My NEET mock score is stuck at 520 and not crossing 600, I am losing hope for government medical college","The 500-to-600 score plateau is typically caused by negative marking and unanalyzed silly mistakes, not a lack of study hours. Conduct a 3-column post-mock audit: 1) Conceptual errors, 2) Calculation/misreading errors, 3) Guessed questions. Eliminating 10 careless errors immediately recovers +50 marks (converting -10 to +40).",reassuring_palms,FALSE
100,neet_chemistry,Organic chemistry reaction mechanisms and named reactions are confusing me completely,"Treat Organic Chemistry as electron movement rules rather than random memory. Group reactions by nucleophile vs electrophile attacks. Maintain a dedicated 'Name Reaction Roadmap' on chart paper connecting Aldol, Cannizzaro, Reimer-Tiemann, and Kolbe reactions. Practice 10 conversion roadmaps daily.",thoughtful_chin,FALSE
101,neet_physics,I am terrified of Physics numericals and leave the section completely blank,"Physics phobia happens when students try to memorize formulas without understanding the physical scenario. Follow the 4-step numerical method: 1) Extract Given Data with SI units, 2) Sketch a 10-second rough free-body diagram, 3) Identify the conservation principle (Energy, Momentum, Charge), 4) Calculate with dimensional sanity checks. Start with NCERT back-exercise questions before touching difficult coaching modules.",reassuring_palms,FALSE
102,jee_math_anxiety,JEE Mathematics section feels impossible and I can only solve 4 or 5 questions in 1 hour,"In JEE Mains Mathematics, question selection is 70% of your score. Out of 25 questions, 7-8 are always straightforward standard application problems. In the first 15 minutes, skim the section and classify questions as: Level 1 (Immediate solve), Level 2 (Known concept, lengthy calculation), Level 3 (Unfamiliar, leave). Target high-yield chapters: Coordinate Geometry, Vectors-3D, Matrices-Determinants, and Statistics.",thoughtful_chin,FALSE
